event_date,event_state,event_city,event_name,event_location_name,event_address
2017-10-03,GA,Atlanta,Benjamin E. Mays High School,Benjamin E Mays High School,3450 Benjamin E Mays Dr SW
2017-10-03,GA,Atlanta,D.M. Therrell High School,D M Therrell High School,3099 Panther Trl SW
2017-10-03,GA,Atlanta,KIPP Atlanta Collegiate HS,Kipp Atlanta Collegiate,98 Anderson Ave NW
2017-10-03,GA,Mcdonough,Eagle's Landing HS Visit,Eagles Landing High School,301 Tunis Rd
2017-10-03,GA,Mcdonough,Union Grove HS Visit,Union Grove High School,120 E Lake Rd
2017-10-03,GA,Stockbridge,Woodland High School Visit,Woodland High School,800 Moseley Dr
2017-10-03,GA,Thomasville,Brookwood School,Brookwood School,301 Cardinal Ridge Rd
2017-10-03,GA,Thomasville,Thomas County Central High School,Thomas County Central High School,4686 US Highway 84 Byp W
2017-10-03,GA,Thomasville,Thomasville High School,Thomasville High School,315 S Hansell St
2017-10-03,NC,Greensboro,CACRAO - Guilford County Schools,Greensboro Coliseum Complex,1921 W Gate City Blvd
2017-10-03,NC,Greensboro,Greensboro Day School,Greensboro Day School,5401 Lawndale Dr
2017-10-03,NC,Greensboro,Grimsley High School,Grimsley High School,801 Westover Ter
2017-10-03,NC,Greensboro,Page High School,Walter Hines Page High School,201 Alma Pinnix Dr
2017-10-03,NJ,Farmingdale,Howell High School,Howell High School,405 Squankum Yellowbrook Rd
2017-10-03,NJ,Manasquan,Manasquan High School's Post High School Education Night,Manasquan High School,167 Broad St
2017-10-03,NJ,Middletown,Middletown High School South,Middletown High School South,900 Nutswamp Rd
2017-10-03,NJ,Rumson,Rumson-Fair Haven High School,Rumson-Fair Haven Regional High School,74 Ridge Rd
2017-10-03,TN,Knoxville,Farragut High School College Night,Farragut High School,11237 Kingston Pike
2017-10-03,TX,Cypress,Cypress-Fairbanks ISD College Night @ Berry Center,Richard E Berry Center,8877 Barker Cypress Rd
2017-10-03,TX,Houston,Lamar High School College Night,Mirabeau B Lamar Sr High Sch,3325 Westheimer Rd
2017-10-03,VA,Mclean,Madeira School,Madeira School The,8328 Georgetown Pike
2017-10-03,VA,Mclean,The Potomac School,Potomac School,1301 Potomac School Rd
2017-10-04,CA,La Canada,St. Francis High School's Annual College Fair,Saint Francis High School,200 Foothill Blvd
2017-10-04,CA,Los Angeles,Loyola High School RACC Mini Fair,Loyola High School,1901 Venice Blvd
2017-10-04,DC,Washington,Mini College Fair at Georgetown Day School,Georgetown Day School,4200 Davenport St NW
2017-10-04,FL,Lakewood Rch,Out Of Door Academy,Out Of Door Academy High Sch,5950 Deer Dr
2017-10-04,FL,Osprey,Pine View School,Pine View School,1 Python Path
2017-10-04,FL,Sarasota,Riverview High School,Riverview High School,1 Ram Way
2017-10-04,GA,Atlanta,Ben Franklin Academy,Ben Franklin Academy,1585 Clifton Rd NE
2017-10-04,GA,Atlanta,Booker T. Washington,Booker T Washington HS,45 Whitehouse Dr SW
2017-10-04,GA,Atlanta,Holy Spirit Preparatory School,Holy Spirit Preparatory School,4465 Northside Dr NW
2017-10-04,GA,Atlanta,Maynard Holbrook Jackson HS,Maynard Holbrook Jackson High School,801 Glenwood Ave SE
2017-10-04,GA,Atlanta,South Atlanta High School,South Atlanta High School,800 Hutchens Rd SE
2017-10-04,GA,Bainbridge,Grace Christian Academy,Grace Christian Academy,1302 Lake Douglas Rd
2017-10-04,GA,Cairo,Cairo High School,Cairo High School,455 5th St SE
2017-10-04,GA,Donalsonville,Seminole County Middle/High School,Seminole Cty Middle/HS,5582 Highway 39
2017-10-04,GA,Marietta,Lassiter High School,Lassiter High School,2601 Shallowford Rd
2017-10-04,MD,Baltimore,Mount de Sales Academy & Mount Saint Joseph High School College Fair,Mount Saint Joseph High School,4403 Frederick Ave
2017-10-04,NC,Charlotte,Charlotte Latin School,Charlotte Latin School,9502 Providence Rd
2017-10-04,NC,Charlotte,Providence Day School,Providence Day School,5800 Sardis Rd
2017-10-04,NC,Charlotte,Providence High School,Providence High School,1800 Pineville Matthews Rd
2017-10-04,NC,Matthews,Weddington High School,Weddington High School,4901 Weddington Rd
2017-10-04,NJ,Lincroft,Christian Brothers Academy,Christian Brothers Academy,850 Newman Springs Rd
2017-10-04,NJ,Middletown,Mater Dei Prep High School,Mater Dei Prep,538 Church St
2017-10-04,NJ,Rumson,"Evening with UGA - Rumson, NJ",Rumson-Fair Haven Regional High School,74 Ridge Rd
2017-10-04,TN,Knoxville,Webb School College Fair,Webb School Of Knoxville,9800 Webb School Ln
2017-10-04,TX,Richmond,Fort Bend ISD College Night @ Travis High School,William B Travis High School,11111 Harlem Rd
2017-10-05,CA,Rsm,Santa Margarita Catholic High School Annual College Fair,Santa Margarita Catholic HS,22062 Antonio Pkwy
2017-10-05,CA,Santa Ana,Nova Academy College & Career Fair,Nova Academy Early College HS,2609 W 5th St
2017-10-05,FL,Naples,Barron Collier High School,Barron Collier High School,5600 Cougar Dr
2017-10-05,FL,Naples,Community School of Naples,Community School Of Naples,13275 Livingston Rd
2017-10-05,GA,Atlanta,Best Academy/Coretta Scott King Women's Leadership Academy,Coretta Scott King Womens High School,1190 Northwest Dr NW
2017-10-05,GA,Atlanta,Carver High School/Carver Early College Visit,Carver High School,55 Mcdonough Blvd SE
2017-10-05,GA,Atlanta,Frederick Douglass High School,Frederick Douglass High School,225 Hamilton E Holmes Dr NW
2017-10-05,GA,Bainbridge,Bainbridge High School,Bainbridge High School,1 Bearcat Blvd
2017-10-05,GA,Camilla,Westwood School,Westwood School,PO Box 528
2017-10-05,MD,Severna Park,Severn School,Severn School,201 Water St
2017-10-05,MD,Severna Park,Severna Park HS,Severna Park Senior HS,60 Robinson Rd
2017-10-05,NC,Charlotte,CACRAO - Charlotte: Mecklenburg County Schools,Charlotte Convention Center,501 S College St
2017-10-05,NJ,Basking Ridge,Ridge High School,Ridge High School,268 S Finley Ave
2017-10-05,NJ,Little Silver,Red Bank Regional High School,Red Bank Regional High School,101 Ridge Rd
2017-10-05,NJ,West Orange,Seton Hall Preparatory School's College Representatives Night,Seton Hall Preparatory School,120 Northfield Ave
2017-10-06,FL,Jacksonville,Episcopal School of Jacksonville,Episcopal School of Jacksonville,4455 Atlantic Blvd
2017-10-06,GA,Atlanta,The Westminster Schools,The Westminster Schools,1424 W Paces Ferry Rd NW
2017-10-06,GA,Blakely,Early County High School College Fair,Early County High School,12020 Columbia St
2017-10-06,GA,College Park,Woodward Academy,Woodward Academy,1662 Rugby Ave
2017-10-06,GA,Damascus,Southwest Georgia Academy,Southwest Georgia Academy,14105 Ga Highway 200
2017-10-06,GA,Norcross,Greater Atlanta Christian School,Greater Atlanta Christian School,1575 Indian Trail Rd
2017-10-06,NJ,Bridgewater,Bridgewater-Raritan Regional HS,Bridgewater-Raritan Rgnl HS,600 Garretson Rd
2017-10-06,NJ,Summit,Summit High School,Summit High School,125 Kent Place Blvd
2017-10-06,NJ,Westfield,Westfield High School,Westfield High School,550 Dorian Rd
2017-10-09,CA,Malibu,Malibu High School,Malibu High School,30215 Morning View Dr
2017-10-09,CA,Pacific Plsds,Palisades High School College Fair,Palisades Charter High School,15777 Bowdoin St
2017-10-09,CA,Santa Monica,Santa Monica High School,Santa Monica High School,601 Pico Blvd
2017-10-09,FL,Windermere,Windermere Preparatory School,Windermere Preparatory School,6189 Winter Garden Vineland Rd
2017-10-09,FL,Winter Garden,West Orange High School,West Orange High School,1625 Beulah Rd
2017-10-09,FL,Winter Park,Trinity Preparatory School,Trinity Preparatory School,5700 Trinity Prep Ln
2017-10-09,GA,Atlanta,Atlanta International School,Atlanta International School,2890 N Fulton Dr NE
2017-10-09,GA,Atlanta,Galloway School,Galloway School,215 W Wieuca Rd NW
2017-10-09,GA,Atlanta,Paideia School,Paideia School,1509 Ponce De Leon Ave NE
2017-10-09,GA,Statesboro,Statesboro High School,Statesboro High School,10 Lester Rd
2017-10-09,KY,Louisville,Sacred Heart Academy,Sacred Heart Academy,3175 Lexington Rd
2017-10-09,MD,Kensington,Albert Einstein High School's 18th Annual College Fair,Albert Einstein High School,11135 Newport Mill Rd
2017-10-09,NJ,Hillsborough,Hillsborough High School,Hillsborough High School,466 Raider Blvd
2017-10-09,NJ,Monmouth Jct,South Brunswick High School,South Brunswick High School,750 Ridge Rd
2017-10-09,NJ,Monroe Twp,Monroe Township High School,Monroe Township High School,200 Schoolhouse Rd
2017-10-09,SC,Hartsville,South Carolina Governor's School for Science and Mathematics,Governor School Science,401 Railroad Ave
2017-10-09,TX,Houston,Westside High School College Fair,Westside High School,14201 Briar Forest Dr
2017-10-10,CA,Los Angeles,Immaculate Heart High School,Immaculate Heart High School,5515 Franklin Ave
2017-10-10,CA,Los Angeles,Marlborough High School,Marlborough School,250 S Rossmore Ave
2017-10-10,CA,Rosemead,Don Bosco Technical Institute College Fair,Don Bosco Technical Institute,1151 San Gabriel Blvd
2017-10-10,FL,Orlando,Bishop Moore High School,Bishop Moore High School,3901 Edgewater Dr
2017-10-10,FL,Orlando,Lake Highland Preparatory School,Lake Highland Preparatory Scho,901 Highland Ave
2017-10-10,FL,Orlando,William R Boone High School,William R Boone High School,1000 E Kaley St
2017-10-10,FL,Winter Park,Winter Park High School,Winter Park High School,2100 Summerfield Rd
2017-10-10,GA,Alpharetta,PROBE Atlanta North Fair at North Point Mall,North Point Mall,1000 N Point Cir
2017-10-10,GA,Dunwoody,Dunwoody High School,Dunwoody High School,5035 Vermack Rd
2017-10-10,GA,Jefferson,Jackson County Comprehensive High School,Jackson County Comprehensive High School,1668 Winder Hwy
2017-10-10,GA,Sandersville,Brentwood School,Brentwood School,725 Linton Rd
2017-10-10,GA,Sandy Springs,Riverwood International Charter,Riverwood International Charter School,5900 Raider Dr
2017-10-10,GA,Statesboro,Bulloch Academy,Bulloch Academy,873 Westside Rd
2017-10-10,NJ,Allendale,Northern Highlands Regional HS,Northern Highlands Regional HS,298 Hillside Ave
2017-10-10,NJ,Millburn,Millburn High School,Millburn High School,462 Millburn Ave
2017-10-10,NJ,Morristown,"Evening with UGA - Morristown, NJ",Morristown High School,50 Early St
2017-10-10,NJ,Randolph,Randolph High School,Randolph High School,511 Millbrook Ave
2017-10-10,TX,Houston,Emory Weiner High School Visit,Emery Weiner School,9825 Stella Link Rd
2017-10-10,TX,Houston,Memorial Senior High School Visit,Memorial Senior High School,935 Echo Ln
2017-10-10,TX,Houston,Spring Branch ISD College Night,Spring Woods Senior HS,2045 Gessner Rd
2017-10-10,VA,Fairfax,"VACRAO - George Mason University, Northern Virginia College Fair",George Mason University,4500 Patriot Circle
2017-10-11,CA,Brea,Brea Olinda High School,Brea Olinda High School,789 Wildcat Way
2017-10-11,CA,Corona,Santiago High School College Fair,Santiago High School,1395 Foothill Pkwy
2017-10-11,CA,Placentia,El Dorado High School,El Dorado High School,1651 Valencia Ave
2017-10-11,FL,Saint Johns,Creekside High School,Creekside High School,100 Knights Ln
2017-10-11,TX,Katy,Katy ISD College and Career Night,Leonard E. Merrell Center,6301 S Stadium Ln
2017-10-11,TX,Missouri City,Elkins High School Visit,Elkins High School,7007 Knights Ct
2017-10-11,VA,Alexandria,VACRAO - Episcopal High School College Fair,Episcopal High School,1200 N Quaker Ln
2017-10-12,CA,Newport Beach,Newport Harbor High School,Newport Harbor High School,600 Irvine Ave
2017-10-12,CA,Riverside,Martin Luther King High School,Martin Luther King High School,9301 Wood Rd
2017-10-12,CA,San Juan Capo,JSerra Catholic High School Annual College Fair,Jserra Catholic High School,26351 Junipero Serra Rd
2017-10-12,CO,Aurora,Regis Jesuit High School Boys,Regis Jesuit High School Boys,6400 S Lewiston Way
2017-10-12,CO,Greenwood Vlg,Cherry Creek High School,Cherry Creek High School,9300 E Union Ave
2017-10-12,FL,Jacksonville,Stanton College Preparatory School,Stanton College Prep School,1149 W 13th St
2017-10-12,FL,Jacksonville,The Bolles School,The Bolles School,7400 San Jose Blvd
2017-10-12,FL,Orange Park,Saint Johns Country Day School,Saint Johns Country Day School,3100 Doctors Lake Dr
2017-10-12,FL,Ponte Vedra,Ponte Vedra High School,Ponte Vedra High School,460 Davis Park Rd
2017-10-12,GA,Cumming,Pinecrest Academy,Pinecrest Academy,955 Peachtree Pwky
2017-10-12,GA,Cumming,PROBE Forsyth County Fair at Lanier Tech Conference Center,Forsyth Conference Center at Lanier Technical College,3410 Ronald Reagan Blvd
2017-10-12,GA,Mableton,Whitefield Academy,Whitefield Academy,1 Whitefield Dr SE
2017-10-12,GA,Marietta,PROBE Cobb County Fair at Marietta High School,Marietta High School,1171 Whitlock Ave SW
2017-10-12,GA,Suwanee,Lambert High School,Lambert High School,805 Nichols Rd
2017-10-12,IL,Highland Park,Highland Park High School,Highland Park High School,433 Vine Ave
2017-10-12,IL,Lincolnshire,Adlai Stevenson High School,Adlai E Stevenson High School,1 Stevenson Dr
2017-10-12,IL,Mt Prospect,Mt. Prospect High School,Prospect High School,801 W Kensington Rd
2017-10-12,TX,Bellaire,Houston ISD College Fair @ Bellaire High School,Bellaire Senior High School,5100 Maple St
2017-10-12,TX,Houston,Duchesne High School Visit,Duchesne Academy Sacred Heart,10202 Memorial Dr
2017-10-12,TX,Houston,Houston Catholic High Schools 2017 College Fair,Strake Jesuit College Prep,8900 Bellaire Blvd
2017-10-12,TX,Sugar Land,Clements High School Visit,William P Clements High School,4200 Elkins Rd
2017-10-12,VA,Alexandria,St. Stephens and St Agnes,St Stephens and St Agnes School,1000 Saint Stephens Rd
2017-10-12,VA,Alexandria,TC Williams High School,T C Williams High School,3330 King St
2017-10-13,FL,Ponte Vedra,Allen D Nease High School,Allen D Nease High School,10550 Ray Rd
2017-10-13,FL,Saint Johns,Bartram Trail High School,Bartram Trail High School,7399 Longleaf Pine Pkwy
2017-10-13,FL,St Augustine,St. Joseph Academy,Saint Joseph Academy,155 State Road 207
2017-10-13,IL,Hinsdale,Hinsdale High School,Hinsdale Central High School,55th And Grant  Rm #113
2017-10-13,IL,La Grange,Lyons Township High School,Lyons Township High School,100 S Brainard Ave
2017-10-13,IL,Palatine,WM Fremd High School,William Fremd High School,1000 S Quentin Rd
2017-10-14,FL,Jacksonville,NACAC Jacksonville National College Fair,Prime F. Osborn III Convention Center,1000 Water St
2017-10-14,IL,Chicago,NACAC Chicago National College Fair,McCormick Place,2301 S King Dr
2017-10-15,CA,El Segundo,Vistamar School Multicultural Student College Fair,Vistamar School,737 Hawaii St
2017-10-15,FL,Miami,AIMS (Association of Independent Miami Schools) College Fair,Hilton Miami Airport Hotel,5101 Blue Lagoon Dr
2017-10-15,VA,Fairfax,VACRAO - Fairfax County College Fair,Fair Oaks Mall,11750 Fair Oaks Mall
2017-10-16,CA,Anaheim,Tri-School College Night: Servite - Rosary - Connelly,Servite High School,1952 W La Palma Ave
2017-10-16,DE,Claymont,Archmere Academy,Archmere Academy,3600 Philadelphia Pike
2017-10-16,FL,Davie,Nova High School,Nova High School,3600 College Ave
2017-10-16,FL,Ft Lauderdale,Pine Crest Invitational College Fair,Pine Crest School,1501 NE 62nd St
2017-10-16,FL,Parkland,Marjory Stoneman Douglas High School,Marjory Stoneman Douglas HS,5901 Pine Island Rd
2017-10-16,GA,Atlanta,Atlanta Jewish Academy,Atlanta Jewish Academy,3130 Raymond Dr
2017-10-16,GA,Atlanta,Lakeside High School's 2017 Fall College Fair,Lakeside High School,3801 Briarcliff Rd NE
2017-10-16,GA,Decatur,Decatur High School,Decatur High School,310 N Mcdonough St
2017-10-16,NV,Las Vegas,Bishop Gorman High School Annual College Fair,Bishop Gorman High School,5959 S Hualapai Way
2017-10-16,VA,Alexandria,VACRAO - Fairfax County College Night,Hayfield Secondary School,7630 Telegraph Rd
2017-10-17,CA,Huntingtn Bch,Huntington Beach High School,Huntington Beach High School,1905 Main St
2017-10-17,CA,Newport Beach,Corona Del Mar High School RACC Mini Fair,Corona Del Mar High School,2101 Eastbluff Dr
2017-10-17,CA,Newport Beach,Pacifica Christian Orange County High School,Pacifica Christian HS - Orange County,883 W 15th St
2017-10-17,FL,Boca Raton,Spanish River Community High School,Spanish River Community HS,5100 Jog Rd
2017-10-17,FL,Davie,NSU University School,University School Of Nsu,3375 SW 75th Ave
2017-10-17,FL,Plantation,"American Heritage School (Plantation, FL)",American Heritage School,12200 W Broward Blvd
2017-10-17,FL,Riviera Beach,Suncoast Community High School's 7th Annual College Fair,Suncoast Community High School,1717 Avenue S
2017-10-17,GA,Augusta,Westminster Schools Of Augusta,Westminster Schools Of Augusta,3067 Wheeler Rd
2017-10-17,GA,Bogart,North Oconee High School Dual Enrollment Parent Night,North Oconee High School,1081 Rocky Branch Rd
2017-10-17,GA,Commerce,East Jackson Comprehensive High School,East Jackson Comprehensive High School,1435 Hoods Mill Rd
2017-10-17,GA,Evans,Greenbrier High School,Greenbrier High School,5114 Riverwood Pkwy
2017-10-17,GA,Grovetown,Grovetown High School,Grovetown High School,2010 Warrior Way
2017-10-17,GA,Harlem,Harlem High School,Harlem High School,1070 Appling Harlem Rd
2017-10-17,GA,Winder,Apalachee High School,Apalachee High School,940 Haymon Morris Rd
2017-10-17,OH,Mason,Mason High School College Visit Night,William Mason High School,6100 S Mason Montgomery Rd
2017-10-18,CA,Costa Mesa,Newport-Mesa Unified School District's College & Career Night,OC Fair & Event Center,88 Fair Dr
2017-10-18,CA,Mission Viejo,Trabuco Hills High School,Trabuco Hills High School,27501 Mustang Run
2017-10-18,CA,Rcho Sta Marg,Tesoro High School RACC Mini Fair,Tesoro High School,1 Tesoro Creek Rd
2017-10-18,FL,West Palm Bch,Oxbridge Academy,Oxbridge Academy-Palm Beaches,3151 N Military Trl
2017-10-18,GA,Atlanta,The Weber School,The Weber School,6751 Roswell Rd
2017-10-18,GA,Greensboro,Lake Oconee Academy Junior/Senior College & Career Parent Night,Lake Oconee Academy,1021 Titan Cir
2017-10-18,GA,Johns Creek,Chattahoochee High School,Chattahoochee High School,5230 Taylor Rd
2017-10-18,GA,Savannah,Herschel Jenkins High School,Herschel Jenkins High School,1800 E De Renne Ave
2017-10-18,GA,Savannah,PROBE Savannah Fair at Oglethorpe Mall,Oglethorpe Mall,7804 Abercorn St
2017-10-18,GA,Savannah,Savannah Arts Academy,Savannah Arts Academy,500 Washington Ave
2017-10-18,GA,Savannah,Sol C Johnson High School,Sol C Johnson High School,3012 Sunset Blvd
2017-10-18,OH,Blue Ash,Ursuline Academy,Ursuline Academy,5535 Pfeiffer Rd
2017-10-18,OH,Cincinnati,Cincinnati Hills Christian Academy,Cincinnati Hills Chrstn Acad,11525 Snider Rd
2017-10-18,OH,Cincinnati,Indian Hill High School,Indian Hill High School,6845 Drake Rd
2017-10-18,OH,Loveland,Loveland,Loveland High School,1 Tiger Trl
2017-10-18,PA,Gibsonia,Pine-Richland High School,Pine-Richland High School,700 Warrendale Rd
2017-10-18,VA,Fredericksbrg,VACRAO - King George High School College Fair,Spotsylvania Towne Centre,137 Spotsylvania Mall
2017-10-19,CA,San Diego,Canyon Crest Academy,Canyon Crest Academy,5951 E Village Center Loop Rd
2017-10-19,CA,San Diego,Cathedral Catholic College Fair,Cathedral Catholic H S,5555 Del Mar Heights Rd
2017-10-19,CA,San Diego,Del Norte High School,Del Norte High School,16601 Night Hawk Ln
2017-10-19,CA,San Diego,Rancho Bernardo High School,Rancho Bernardo High School,13010 Paseo Lucido
2017-10-19,CA,Solana Beach,Santa Fe Christian School,Santa Fe Christian School,838 Academy Dr
2017-10-19,GA,Flowery Br,Flowery Branch High School,Flowery Branch High School,6603 Spout Springs Rd
2017-10-19,GA,Guyton,South Effingham High School,South Effingham High School,1220 Noel C Conaway Rd
2017-10-19,GA,Savannah,Savannah Christian Prep Sch,Savannah Christian Prep Sch,1599 Chatham Pkwy
2017-10-19,GA,Springfield,Effingham County High School,Effingham County High School,1589 Highway 119 S
2017-10-19,OH,Columbus,Bishop Watterson High School,Bishop Watterson High School,99 E Cooke Rd
2017-10-19,OH,Dublin,Dublin Jerome High School,Dublin Jerome High School,8300 Hyland Croy Rd
2017-10-19,OH,New Albany,New Albany High School,New Albany High School,7600 Fodor Rd
2017-10-19,OH,Upper Arlngtn,Upper Arlington High School,Upper Arlington High School,1650 Ridgeview Rd
2017-10-19,TN,Chattanooga,Baylor School,Baylor School,171 Baylor School Rd
2017-10-19,TN,Chattanooga,Chattanooga Christian School Mini-Fair,Chattanooga Christian School,3354 Charger Dr
2017-10-19,TN,Chattanooga,Notre Dame High School,Notre Dame High School,2701 Vermont Ave
2017-10-19,TN,Ooltewah,East Hamilton High School,East Hamilton School,2015 Ooltewah Ringgold Rd
2017-10-20,CA,Carlsbad,La Costa Canyon High School,La Costa Canyon High School,1 Maverick Way
2017-10-20,CA,Carlsbad,Sage Creek High School Visit,Sage Creek High School,3900 Cannon Rd
2017-10-20,CA,San Diego,Torrey Pines High School,Torrey Pines High School,3710 Del Mar Heights Rd
2017-10-20,GA,Atlanta,Druid Hills High School College Fair,Druid Hills High School,1798 Haygood Dr NE
2017-10-20,OH,Chagrin Falls,Chagrin Falls High School,Chagrin Falls High School,400 E Washington St
2017-10-20,OH,Hudson,Hudson High School,Hudson High School,2500 Hudson Aurora Rd
2017-10-20,OH,Kent,Theodore Roosevelt High School,Theodore Roosevelt High School,1400 N Mantua St
2017-10-20,OH,Solon,Solon High School,Solon High School,33600 Inwood Dr
2017-10-21,CA,San Diego,Explore Solutions' Fall College Showcase,Town and Country San Diego,500 Hotel Cir N
2017-10-22,OH,Cincinnati,NACAC Cincinnati National College Fair,Duke Energy Convention Center,525 Elm St
2017-10-23,GA,Atlanta,"UCAAN Information Session in Atlanta with UChicago, Purdue, Georgia Tech, and UGA",Ferst Center For The Arts,350 Ferst Drive Northwest
2017-10-23,TX,Haslet,2017 Northwest ISD College and Career Fair,V.R. Eaton High School,1350 Eagle Blvd
2017-10-23,VA,Chesapeake,Chesapeake Public Schools Annual College Fair,Indian River High School,1969 Braves Trl
2017-10-24,CA,Azusa,Azusa High School/Azusa USD College Fair,Azusa High School,240 N Cerritos Ave
2017-10-24,FL,Niceville,Okaloosa and Walton County College Night,Northwest Fl St College,100 College Blvd E
2017-10-24,GA,Clarkston,Clarkston High School College Fair,Clarkston High School,618 N Indian Creek Dr
2017-10-24,GA,Lithonia,Arabia Mountain High School,Arabia Mountain High School,6610 Browns Mill Rd
2017-10-24,GA,Norman Park,PROBE - Colquitt County Fair,Colquitt County High School,105 Darbyshire Rd
2017-10-24,TX,Lucas,Lovejoy High School Visit,Lovejoy High School,2350 Estates Pkwy
2017-10-24,TX,Westlake,Westlake Academy College Day,Westlake Academy,2600 J T Ottinger Rd
2017-10-24,VA,Newport News,Hampton Roads Academy,Hampton Roads Academy,739 Academy Ln
2017-10-24,VA,Norfolk,Norfolk Collegiate,Norfolk Collegiate School,7336 Granby St
2017-10-24,VA,Suffolk,Nansemond-suffolk Academy,Nansemond-Suffolk Academy,3373 Pruden Blvd
2017-10-24,VA,Virginia Bch,Virginia Beach City Public School's College Information Program,Virginia Beach Convention Center,1000 19th St
2017-10-25,CA,Newport Coast,Sage Hill School,Sage Hill School,20402 Newport Coast Dr
2017-10-25,CA,San Juan Capo,JSerra Catholic High School,Jserra Catholic High School,26351 Junipero Serra Rd
2017-10-25,CA,San Juan Capo,San Juan Hills High School,San Juan Hills High School,29211 Stallion Rdg
2017-10-25,DE,Wilmington,Salesianum School,Salesianum School,1801 N Broom St
2017-10-25,GA,Kennesaw,Harrison High School,Harrison High School,4500 Due West Rd NW
2017-10-25,GA,Marietta,Wheeler High School,Wheeler High School,375 Holt Rd NE
2017-10-25,GA,Tifton,PROBE - Tift County Fair,Tift County High School,1 Blue Devil Way
2017-10-25,MD,Annapolis,Broadneck High School College Fair,Broadneck High School,1265 Green Holly Dr
2017-10-25,TX,Fort Worth,TACRAO - R.L Paschal High School College Fair,Robert L Paschal High School,3001 Forest Park Blvd
2017-10-25,TX,Southlake,Carroll ISD College Fair@Carroll Sr. High School,Carroll Senior High School,1501 W Southlake Blvd
2017-10-26,CA,Santa Ana,Mater Dei High School,Mater Dei High School,1202 W Edinger Ave
2017-10-26,CA,Santa Ana,OC School of the Arts Fair,Orange County Sch Of The Arts,1010 N Main St
2017-10-26,CA,Yorba Linda,Placentia-Yorba Linda Unified School District (PYLUSD) College Fair,Yorba Linda Community Center,4501 Casa Loma Ave
2017-10-26,DC,Washington,British School,British School Of Washington,2001 Wisconsin Ave NW
2017-10-26,GA,Decatur,Columbia High School College Fair,Columbia,2106 Columbia Dr
2017-10-26,GA,Macon,College & Career Fest 2017: Pathways to Success,Anderson Conference Center,5171 Eisenhower Pkwy
2017-10-26,GA,Madison,Morgan County High School,Morgan County High School,1231 College Dr
2017-10-26,GA,Perry,Perry High School,Perry High School,1307 North Ave
2017-10-26,IL,Barrington,Barrington High School,Barrington Community High Schl,616 W Main St
2017-10-26,IL,Chicago,"UCAAN Information Session in Chicago with UChicago, Purdue, Georgia Tech, and UGA",Mandel Hall,1131 E 57th St
2017-10-26,IL,Winnetka,New Trier Township High School,New Trier High School,385 Winnetka Ave
2017-10-26,OK,Edmond,Edmond North High School Visit,Edmond North High School,215 W Danforth Rd
2017-10-26,OK,Oklahoma City,Bishop Mcguinness High School Visit,Bishop Mcguinness High School,801 NW 50th St
2017-10-26,OK,Oklahoma City,Casady School Visit,Casady School,9500 N Pennsylvania Ave
2017-10-26,OK,Oklahoma City,Classen School of Advanced Studies Visit,Classen Sch Advanced Studies,1901 N Ellison Ave
2017-10-26,OK,Oklahoma City,Heritage Hall Visit,Heritage Hall,1800 NW 122nd St
2017-10-26,OK,Oklahoma City,Oklahoma School of Science and Math High School Visit,Oklahoma School Of Science And Mathematics,1141 N Lincoln Blvd
2017-10-26,PA,Kennett Sq,Unionville High School,Unionville High School,750 Unionville Rd
2017-10-27,GA,Decatur,DeKalb County School? District? College? Fair,Georgia State University- Perimeter College,3251 Panthersville Rd
2017-10-27,IL,Aurora,Waubonsie Valley High School,Waubonsie Valley High School,2590 Ogden Ave
2017-10-27,IL,Glenview,Glenbrook South High School,Glenbrook South High School,4000 W Lake Ave
2017-10-27,IL,Naperville,Naperville North High School,Naperville North High School,899 N Mill St
2017-10-27,OK,Tulsa,Bishop Kelly Visit,Bishop Kelley High School,3905 S Hudson Ave
2017-10-27,OK,Tulsa,Booker T Washington High School Visit,Booker T Washington HS,1514 E Zion St
2017-10-27,OK,Tulsa,Cascia Hall Preparatory School Visit,Cascia Hall Preparatory School,2520 S Yorktown Ave
2017-10-27,OK,Tulsa,Holland Hall School Visit,Holland Hall School,5666 E 81st St Uppr School
2017-10-28,GA,Marietta,Cathedral of Turner Chapel AME College Fair,Cathedral of Turner Chapel AME Church,492 N Marietta Pkwy NE
2017-10-30,CA,Mission Viejo,CUSD 2017 Fall College Fair@Capistrano Valley High School,Capistrano Valley High School,26301 Via Escolar
2017-10-30,SC,Hilton Head,Hilton Head Preparatory School's College Fair,Hilton Head Preparatory School,8 Fox Grape Rd
2017-10-30,SC,N Charleston,Charleston County Consolidated Afternoon Program - CACRAO,North Charleston Coliseum & Performing Arts Center,5001 Coliseum Dr
2017-10-30,SC,N Charleston,Charleston County Consolidated Morning Fair,North Charleston Coliseum & Performing Arts Center,5001 Coliseum Dr
2017-10-30,TX,Boerne,Boerne ISD TACRAO College Fair,Boerne Samuel V Champion HS,201 Charger Blvd
2017-10-30,TX,San Antonio,Ronald Reagan High School Visit,Ronald Reagan High School,19000 Ronald Reagan
2017-10-30,TX,San Antonio,Saint Mary's School Visit,Saint Marys Hall,9401 Starcrest Dr
2017-10-30,TX,San Antonio,TACRAO - Alamo Heights ISD College Fair,Alamo Heights High School,6900 Broadway St
2017-10-31,GA,Atlanta,Atlanta International School,Atlanta International School,2890 N Fulton Dr NE
